date,forecast_pct,lower_ci,upper_ci
2025-01-01,31.77689619563797,25.807938792984004,37.74585359829194
2025-02-01,34.308087367067515,28.33912996441355,40.27704476972148
2025-03-01,37.21472475817726,31.2457673555233,43.183682160831225
2025-04-01,38.283919749706385,32.31496234705242,44.25287715236035
2025-05-01,34.23343509187649,28.264477689222524,40.20239249453045
2025-06-01,30.092418514929516,24.12346111227555,36.06137591758348
2025-07-01,27.70418020494358,21.735222802289613,33.673137607597546
2025-08-01,26.34047866269963,20.371521260045668,32.309436065353594
2025-09-01,27.383975930820764,21.415018528166797,33.35293333347473
2025-10-01,33.05244568225224,27.083488279598278,39.021403084906204
2025-11-01,34.58254476379524,28.613587361141278,40.551502166449204
2025-12-01,33.90118862462083,27.932231221966866,39.87014602727479
2026-01-01,34.00763761412073,28.03868021146677,39.976595016774695
2026-02-01,36.53882878555028,30.569871382896316,42.50778618820424
2026-03-01,39.44546617666002,33.47650877400606,45.41442357931398
2026-04-01,40.51466116818915,34.54570376553519,46.48361857084311
2026-05-01,36.46417651035925,30.49521910770529,42.433133913013215
2026-06-01,32.323159933412285,26.35420253075832,38.29211733606625
2026-07-01,29.934921623426344,23.965964220772378,35.90387902608031
2026-08-01,28.571220081182396,22.602262678528433,34.54017748383636
2026-09-01,29.61471734930353,23.645759946649562,35.583674751957496
2026-10-01,35.283187100735006,29.314229698081043,41.25214450338897
2026-11-01,36.813286182278006,30.844328779624043,42.78224358493197
2026-12-01,36.131930043103594,30.16297264044963,42.10088744575756
2027-01-01,36.2383790326035,30.269421629949534,42.20733643525746
2027-02-01,38.769570204033045,32.80061280137908,44.73852760668701
2027-03-01,41.676207595142785,35.70725019248882,47.64516499779675
2027-04-01,42.745402586671915,36.77644518401795,48.71435998932588
2027-05-01,38.69491792884202,32.725960526188054,44.66387533149598
2027-06-01,34.55390135189505,28.584943949241087,40.52285875454901
2027-07-01,32.165663041909106,26.196705639255143,38.13462044456307
2027-08-01,30.801961499665154,24.83300409701119,36.77091890231912
2027-09-01,31.845458767786294,25.876501365132327,37.81441617044026
2027-10-01,37.51392851921777,31.544971116563808,43.482885921871734
2027-11-01,39.04402760076077,33.07507019810681,45.012985003414734
2027-12-01,38.36267146158635,32.39371405893239,44.331628864240315
2028-01-01,38.46912045108626,32.5001630484323,44.438077853740225
2028-02-01,41.0003116225158,35.03135421986184,46.969269025169766
2028-03-01,43.90694901362555,37.93799161097159,49.87590641627951
2028-04-01,44.97614400515468,39.00718660250072,50.94510140780864
2028-05-01,40.92565934732478,34.95670194467082,46.894616749978745
2028-06-01,36.78464277037781,30.815685367723844,42.75360017303177
2028-07-01,34.39640446039187,28.427447057737908,40.365361863045834
2028-08-01,33.03270291814792,27.063745515493956,39.00166032080188
2028-09-01,34.076200186269055,28.107242783615092,40.04515758892302
2028-10-01,39.74466993770053,33.775712535046566,45.71362734035449
2028-11-01,41.274769019243536,35.30581161658957,47.2437264218975
2028-12-01,40.59341288006912,34.624455477415154,46.56237028272308
2029-01-01,40.69986186956903,34.730904466915064,46.66881927222299
2029-02-01,43.23105304099857,37.262095638344604,49.20001044365253
2029-03-01,46.137690432108315,40.16873302945435,52.10664783476228
2029-04-01,47.206885423637445,41.23792802098348,53.17584282629141
2029-05-01,43.15640076580755,37.187443363153584,49.12535816846151
2029-06-01,39.01538418886057,33.04642678620661,44.984341591514536
2029-07-01,36.627145878874636,30.658188476220673,42.5961032815286
2029-08-01,35.263444336630684,29.29448693397672,41.23240173928465
2029-09-01,36.30694160475182,30.337984202097857,42.27589900740578
2029-10-01,41.975411356183294,36.00645395352933,47.94436875883726
2029-11-01,43.505510437726294,37.53655303507233,49.47446784038026
2029-12-01,42.82415429855188,36.85519689589792,48.793111701205845
2030-01-01,42.93060328805179,36.96164588539783,48.899560690705755
2030-02-01,45.46179445948133,39.49283705682737,51.430751862135295
2030-03-01,48.36843185059108,42.399474447937116,54.33738925324504
2030-04-01,49.43762684212021,43.46866943946625,55.40658424477417
2030-05-01,45.38714218429031,39.41818478163635,51.356099586944275
2030-06-01,41.24612560734334,35.277168204689374,47.2150830099973
2030-07-01,38.857887297357394,32.88892989470343,44.82684470001136
2030-08-01,37.49418575511345,31.525228352459486,43.46314315776741
2030-09-01,38.537683023234585,32.56872562058062,44.50664042588855
2030-10-01,44.20615277466606,38.237195372012096,50.17511017732002
2030-11-01,45.73625185620906,39.767294453555095,51.70520925886302
2030-12-01,45.05489571703465,39.085938314380684,51.02385311968861
